datetime,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Cloud_Cover_decimalFraction,Air_Temperature_celsius,Relative_Humidity_percent,Surface_Level_Barometric_Pressure_pascal,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Precipitation_meterPerSecond
2002-03-02 0:00,102.7370833,0.8125,-0.85,85,99036.25,3.5,8.25E-09
2002-03-03 0:00,72.77104167,0.3125,-1.95,58.5,99420,4,8.25E-09
2002-03-04 0:00,78.48008333,0.46875,-3.05,57,99160,1.75,8.25E-09
2002-03-05 0:00,80.29166667,0.53125,1.275,64.5,97635,1.75,8.25E-09
2002-03-06 0:00,102.8345833,0.96875,3.325,42.25,98948.75,4.5,8.25E-09
2002-03-07 0:00,28.57833333,0.5,1.05,74.5,99293.75,4.25,8.25E-09
2002-03-08 0:00,134.2616667,0.5,0.575,70.5,100001.25,3.25,8.25E-09
2002-03-09 0:00,59.56083333,0.78125,2.325,57.5,100187.5,3.5,8.25E-09
2002-03-10 0:00,112.5741667,0.53125,4.85,51,101150,6.25,8.25E-09
2002-03-11 0:00,117.3675,0.78125,2.9,46,101807.5,3,8.25E-09
2002-03-12 0:00,116.0059583,0.6875,3.15,55.25,100698.75,3.5,8.25E-09
2002-03-13 0:00,74.93125,0.46875,4.325,86,100528.75,3.5,8.25E-09
2002-03-14 0:00,127.2116667,0.3125,2.1,89.75,100242.5,4.25,8.25E-09
2002-03-15 0:00,136.5395833,0.6875,-1.575,90.5,100876.25,2,8.25E-09
2002-03-16 0:00,136.4629167,1,-0.3,60.5,101127.5,1.75,8.25E-09
2002-03-17 0:00,45.4475,1,0.2,53.75,101037.5,3.25,8.25E-09
2002-03-18 0:00,73.29041667,1,0.3,52.25,100891.25,1,8.25E-09
2002-03-19 0:00,22.98541667,0.84375,2.375,52.5,100602.5,2.25,8.25E-09
2002-03-20 0:00,23.34,0.53125,4.4,53.5,101628.75,2.5,8.25E-09
2002-03-21 0:00,114.28,0.46875,3.025,73,101870,5.5,8.25E-09
2002-03-22 0:00,102.95475,0.375,2.325,73.5,102457.5,4.25,8.25E-09
2002-03-23 0:00,142.732375,0.375,3.675,83,102498.75,4.25,8.25E-09
2002-03-24 0:00,149.8099167,0.96875,2.65,74,103390,3.5,8.25E-09
2002-03-25 0:00,153.1345833,0.5625,1.11E-16,71.25,102398.75,2.25,8.25E-09
2002-03-26 0:00,64.12504167,1,1.5,83.5,101901.25,2.25,8.25E-09
2002-03-27 0:00,133.6375,0.71875,5.075,85,100927.5,2,8.25E-09
2002-03-28 0:00,93.52333333,0.1875,3.275,82,99745,3.75,8.25E-09
2002-03-29 0:00,148.5421667,0.78125,5.825,86.75,100953.75,2,8.25E-09
2002-03-30 0:00,179.11625,1,4.625,84.25,101087.5,2,8.25E-09
2002-03-31 0:00,128.4008333,0.96875,2.3,73,100951.25,1.75,8.25E-09
2002-04-01 0:00,95.96083333,1,2.575,66.75,99831.25,1.25,8.25E-09
2002-04-02 0:00,83.6755,0.96875,4.2,61.5,100791.25,1.775,1.54E-08
2002-04-03 0:00,48.25716667,0.6875,7.075,56,101115,0.9,1.54E-08
2002-04-04 0:00,66.49541667,0.84375,7.875,67.25,100801.25,1.925,1.54E-08
2002-04-05 0:00,121.1979167,0.46875,7.525,66.75,99660,1.925,1.54E-08
2002-04-06 0:00,61.56041667,0.65625,4.875,59.75,99731.25,2.575,1.54E-08
2002-04-07 0:00,117.2870833,0.875,6.175,58.5,100076.25,2.575,1.54E-08
2002-04-08 0:00,167.255,0.65625,8.125,67.75,99830,3.075,1.54E-08
2002-04-09 0:00,82.56,0.53125,6.55,73.5,99771.25,1.675,1.54E-08
2002-04-10 0:00,177.907,0.34375,5.475,67,100033.75,1.675,1.54E-08
2002-04-11 0:00,190.4408333,1,4.8,50,100097.5,2.425,1.54E-08
2002-04-12 0:00,210.8942917,0.9375,5.45,40,99612.5,2.3,1.54E-08
2002-04-13 0:00,74.21645833,0.96875,4.5,52.5,99340,3.325,1.54E-08
2002-04-14 0:00,47.80333333,0.78125,6.125,62,99302.5,5.25,1.54E-08
2002-04-15 0:00,22.55420833,0.6875,6.3,56,99390,4.9,1.54E-08
2002-04-16 0:00,109.3535417,0.75,6.95,76.25,99777.5,3.35,1.54E-08
2002-04-17 0:00,205.7780833,0.5,6.95,78,98856.25,3.35,1.54E-08
2002-04-18 0:00,124.7274167,0.5,6.525,87.25,99045,2.425,1.54E-08
2002-04-19 0:00,205.4275,0.4375,6.225,66.25,99908.75,2.2,1.54E-08
2002-04-20 0:00,217.22,0.71875,8.25,55.75,100233.75,1.8,1.54E-08
2002-04-21 0:00,214.2875,0.96875,6.75,86,100686.25,1.4,1.54E-08
2002-04-22 0:00,196.6807917,0.84375,7.325,82,101381.25,2.45,1.54E-08
2002-04-23 0:00,54.09125,0.4625,7.35,86.25,101846.25,4.125,1.54E-08
2002-04-24 0:00,182.902125,0.75,11.05,65,101672.5,3.725,1.54E-08
2002-04-25 0:00,238.5324583,0.9375,11.975,79.75,100945,1.55,1.54E-08
2002-04-26 0:00,223.7197917,1,7.75,77.75,100385,1.275,1.54E-08
2002-04-27 0:00,82.398,0.84375,7.05,85,99626.25,2.675,1.54E-08
2002-04-28 0:00,40.423875,0.96875,6.35,75.25,100033.75,2.325,1.54E-08
2002-04-29 0:00,228.554,0.9625,6.625,71.75,99801.25,3.6,1.54E-08
2002-04-30 0:00,44.40770833,0.9375,6.25,59.5,100528.75,4,1.54E-08
2002-05-01 0:00,110.5089167,0.75,6.575,57.25,100970,3.325,1.54E-08
2002-05-02 0:00,53.27208333,0.6875,7.9,42.25,101043.75,5.025,3.03E-08
2002-05-03 0:00,191.7077083,0.4625,8.65,44,100488.75,2.725,3.03E-08
2002-05-04 0:00,134.0070833,0.5625,7.975,46.25,100603.75,1.95,3.03E-08
2002-05-05 0:00,250.9204167,0.5,10.225,46.75,100197.5,1.65,3.03E-08
2002-05-06 0:00,284.1833333,0.1875,12,46.75,99133.75,3.075,3.03E-08
2002-05-07 0:00,261.564375,0.4625,13.3,45.75,98556.25,2.975,3.03E-08
2002-05-08 0:00,292.240625,0.4625,15.475,76,99396.25,2.45,3.03E-08
2002-05-09 0:00,294.5383333,0.78125,14.175,53.25,100468.75,1.8,3.03E-08
2002-05-10 0:00,276.2612917,0.375,14.825,71.25,101472.5,4.9,3.03E-08
2002-05-11 0:00,257.387125,0.78125,15.15,69,101111.25,2.725,3.03E-08
2002-05-12 0:00,247.5707083,0.4625,15.45,48,101616.25,2.975,3.03E-08
2002-05-13 0:00,57.32408333,0.5625,14.55,45,102238.75,1.95,3.03E-08
2002-05-14 0:00,306.5333333,0.71875,12.725,43,102695,1.675,3.03E-08
2002-05-15 0:00,285.6742917,0.59375,12.15,42,102383.75,2.7,3.03E-08
2002-05-16 0:00,180.9719167,0.21875,12.875,77.25,102230,2.725,3.03E-08
2002-05-17 0:00,217.493875,0.9375,13.55,66.5,102018.75,2.975,3.03E-08
2002-05-18 0:00,315.7642083,0.53125,13.95,50.75,101915,5.125,3.03E-08
2002-05-19 0:00,326.1321667,0.9375,12.6,48.25,101678.75,2.45,3.03E-08
2002-05-20 0:00,285.6468333,0.65625,13.3,83,101055,3.75,3.03E-08
2002-05-21 0:00,60.86566667,0.6875,11.65,79.25,100940,2.575,3.03E-08
2002-05-22 0:00,230.9852917,0.8125,14.85,67.25,100395,2.025,3.03E-08
2002-05-23 0:00,230.2866667,0.96875,16.775,81.5,100997.5,3.075,3.03E-08
2002-05-24 0:00,204.2529167,0.9375,19.175,87.25,100571.25,2.45,3.03E-08
2002-05-25 0:00,85.35425,0.6875,13.875,64.5,99828.75,1.65,3.03E-08
2002-05-26 0:00,100.7632083,0.9375,12.725,76.25,99385,3.35,3.03E-08
2002-05-27 0:00,247.4535833,1,12.975,73.5,99802.5,1.525,3.03E-08
2002-05-28 0:00,23.006625,0.96875,10.8,61.25,100580,4.475,3.03E-08
2002-05-29 0:00,15.057375,0.9625,10.95,59.75,100976.25,4.475,3.03E-08
2002-05-30 0:00,115.22825,0.78125,13.65,57.25,101078.75,2.425,3.03E-08
2002-05-31 0:00,138.4716667,0.5,13,38.5,101113.75,3.225,3.03E-08
2002-06-01 0:00,272.8203333,0.5,12.325,38.25,100403.75,2.55,3.03E-08
2002-06-02 0:00,321.0341667,0.375,14.925,43.75,100190,1.8,2.94E-08
2002-06-03 0:00,276.652375,0.5625,15.675,43,100353.75,2.425,2.94E-08
2002-06-04 0:00,328.2125,0.5625,15.9,45.5,99933.75,2.175,2.94E-08
2002-06-05 0:00,333.3853333,0.25,20.15,43.75,100030,3.225,2.94E-08
2002-06-06 0:00,299.0929167,0.25,20.9,62.5,101278.75,3.225,2.94E-08
2002-06-07 0:00,337.1506667,0.5,20.95,78,101267.5,2.325,2.94E-08
2002-06-08 0:00,340.4855833,0.34375,20.6,68.25,100371.25,2.325,2.94E-08
2002-06-09 0:00,267.0116667,0.59375,19.775,64.5,99656.25,2.7,2.94E-08
2002-06-10 0:00,335.6364167,0.84375,21.8,50.5,99577.5,1.95,2.94E-08
2002-06-11 0:00,207.0856087,0.75,17.975,81.5,99096.25,3.7,2.94E-08
2002-06-12 0:00,91.72483333,0.78125,15.675,63,99513.75,3.975,2.94E-08
2002-06-13 0:00,196.9225,0.34375,14.475,64,99795,3.725,2.94E-08
2002-06-14 0:00,247.2224167,0.78125,14.25,80,99867.5,1.65,2.94E-08
2002-06-15 0:00,326.803375,0.5,16.7,59.75,100915,3.075,2.94E-08
2002-06-16 0:00,127.4297083,0.875,13.4,53.25,100930,2.575,2.94E-08
2002-06-17 0:00,295.188125,0.96875,17.3,64.5,99672.5,2.8,2.94E-08
2002-06-18 0:00,123.8056667,0.5625,15.95,63.75,99253.75,2.55,2.94E-08
2002-06-19 0:00,162.7697917,0.5,17.825,76,100027.5,2.85,2.94E-08
2002-06-20 0:00,288.6941667,0.84375,17.15,56,100877.5,4.75,2.94E-08
2002-06-21 0:00,286.2589583,0.78125,16.45,48.75,101342.5,3.075,2.94E-08
2002-06-22 0:00,257.3915417,0.84375,15.775,68.5,101277.5,1.65,2.94E-08
2002-06-23 0:00,234.877875,0.75,15.625,72,100720,2.825,2.94E-08
2002-06-24 0:00,145.843,0.71875,14.525,73.25,100415,2.075,2.94E-08
2002-06-25 0:00,271.5417083,0.8125,17.5,50,100778.75,3.725,2.94E-08
2002-06-26 0:00,195.8389583,0.71875,16.125,62.25,100661.25,3.325,2.94E-08
2002-06-27 0:00,140.1804167,0.6875,12.775,67.5,100485,3.2,2.94E-08
2002-06-28 0:00,183.64275,0.59375,13.15,77.25,100705,2.2,2.94E-08
2002-06-29 0:00,138.928,0.625,12.65,72,100150,2.825,2.94E-08
2002-06-30 0:00,296.901125,0.59375,17.25,75.5,100053.75,3.6,2.94E-08
2002-07-01 0:00,239.4263333,0.875,15.15,66.5,100227.5,2.7,2.94E-08
2002-07-02 0:00,265.7955417,0.8125,14.6,66,100260,2.675,3.08E-08
2002-07-03 0:00,98.32804167,0.84375,13.8,63.75,100240,3.975,3.08E-08
2002-07-04 0:00,243.8774167,0.625,13.7,81.75,100055,3.2,3.08E-08
2002-07-05 0:00,85.66325,0.65625,14.65,87,99750,2.7,3.08E-08
2002-07-06 0:00,322.2456667,0.78125,16.925,82.5,98893.75,2.675,3.08E-08
2002-07-07 0:00,272.1211667,0.9625,15.95,68.75,98946.25,3.35,3.08E-08
2002-07-08 0:00,249.2265833,0.96875,16.15,75.25,99086.25,3.725,3.08E-08
2002-07-09 0:00,89.8935,0.9375,13.9,64.5,99452.5,2.6,3.08E-08
2002-07-10 0:00,62.37295833,0.8125,17.125,65.5,99171.25,3.1,3.08E-08
2002-07-11 0:00,90.19245833,0.75,20.175,68.25,99577.5,1.8,3.08E-08
2002-07-12 0:00,132.285625,0.75,19.075,62.75,99522.5,4.5,3.08E-08
2002-07-13 0:00,328.48875,0.6875,15.6,63,99017.5,2.325,3.08E-08
2002-07-14 0:00,286.3814167,0.5,17.25,69,98800,1.925,3.08E-08
2002-07-15 0:00,212.366,0.59375,17.7,75.75,98670,1.95,3.08E-08
2002-07-16 0:00,292.9067917,0.5625,18.925,75.75,98867.5,2.55,3.08E-08
2002-07-17 0:00,309.5635417,0.8125,19.225,79,99573.75,2.05,3.08E-08
2002-07-18 0:00,287.5115,1,19.6,83.5,100138.75,2.2,3.08E-08
2002-07-19 0:00,135.2007917,0.78125,18.3,83,99613.75,2.7,3.08E-08
2002-07-20 0:00,69.44320833,0.78125,17.85,82.5,99806.25,3.225,3.08E-08
2002-07-21 0:00,217.258875,0.9375,19.225,60.25,100283.75,1.8,3.08E-08
2002-07-22 0:00,154.6574583,0.875,18.325,71.25,100271.25,3.725,3.08E-08
2002-07-23 0:00,64.05625,0.96875,17.55,52.25,100515,4.75,3.08E-08
2002-07-24 0:00,131.8148333,0.71875,17.1,77,100772.5,1.15,3.08E-08
2002-07-25 0:00,88.76208333,0.46875,14.95,71.75,100155,1.775,3.08E-08
2002-07-26 0:00,269.9695833,0.25,16.65,67.5,100245,3.35,3.08E-08
2002-07-27 0:00,245.556875,0.875,16.6,65.75,100515,2.05,3.08E-08
2002-07-28 0:00,293.87125,0.5625,17.25,56.5,100736.25,2.3,3.08E-08
2002-07-29 0:00,185.5465833,0.46875,17.925,60.75,100352.5,2.975,3.08E-08
2002-07-30 0:00,280.7054167,0.625,20.675,55.75,99782.5,2.175,3.08E-08
2002-07-31 0:00,194.2241667,0.5625,22.075,60.5,99142.5,2.2,3.08E-08
2002-08-01 0:00,250.465,0.6875,21.45,55,99283.75,3.475,3.08E-08
2002-08-02 0:00,237.742125,0.5,23.45,58.5,100147.5,2.575,1.01E-08
2002-08-03 0:00,184.5754167,0.25,21.65,65.75,101042.5,4.25,1.01E-08
2002-08-04 0:00,292.5650417,0.4625,20.125,64.5,100993.75,2.95,1.01E-08
2002-08-05 0:00,281.8297917,0.34375,20.35,62.25,99956.25,1.7,1.01E-08
2002-08-06 0:00,274.9223333,0.25,21.3,58.25,100151.25,2.2,1.01E-08
2002-08-07 0:00,258.291,0.53125,20.675,65,100513.75,1.8,1.01E-08
2002-08-08 0:00,276.1357917,0.53125,20.75,78.75,100286.25,1.275,1.01E-08
2002-08-09 0:00,228.6516667,0.59375,19.95,71.5,100543.75,1.425,1.01E-08
2002-08-10 0:00,229.7792917,0.75,19.625,67,101130,1.525,1.01E-08
2002-08-11 0:00,199.422375,0.96875,20.125,64,101566.25,2.35,1.01E-08
2002-08-12 0:00,102.1554167,0.4625,19.15,75,101561.25,4.1,1.01E-08
2002-08-13 0:00,44.408625,0.34375,18.925,68.5,101003.75,2.2,1.01E-08
2002-08-14 0:00,243.3079167,0.9375,20.625,65.75,99931.25,1.55,1.01E-08
2002-08-15 0:00,246.3466667,0.6875,20.775,61.25,100121.25,1.675,1.01E-08
2002-08-16 0:00,252.8445833,0.1875,20.875,73.25,100032.5,1.925,1.01E-08
2002-08-17 0:00,220.19125,0.375,19.6,64,100347.5,1.275,1.01E-08
2002-08-18 0:00,213.4341667,0.1875,21.425,59,100133.75,1.8,1.01E-08
2002-08-19 0:00,197.6175,0.75,21.7,57.25,99887.5,2.175,1.01E-08
2002-08-20 0:00,241.6679167,0.53125,20.85,56,100178.75,2.6,1.01E-08
2002-08-21 0:00,103.6797917,0.375,18.975,62.25,99567.5,1.825,1.01E-08
2002-08-22 0:00,202.212875,0.28125,21.275,65.75,98051.25,1.675,1.01E-08
2002-08-23 0:00,227.3225,0.25,21,75.5,98161.25,1.55,1.01E-08
2002-08-24 0:00,210.3380833,0.46875,21.2,62.5,98913.75,1.425,1.01E-08
2002-08-25 0:00,219.034375,0.15625,21.3,74.5,99268.75,1.8,1.01E-08
2002-08-26 0:00,209.772625,0.5625,20.9,65.25,99841.25,2.575,1.01E-08
2002-08-27 0:00,174.95125,0.6875,20.175,69.5,100195,1.275,1.01E-08
2002-08-28 0:00,194.8604167,0.625,18.15,57.5,99996.25,2.825,1.01E-08
2002-08-29 0:00,181.03,0.6875,19.075,70.5,100441.25,1.8,1.01E-08
2002-08-30 0:00,172.9354167,0.75,17.175,66.5,100950,2.7,1.01E-08
2002-08-31 0:00,97.86741667,0.25,17.75,68.5,101173.75,3.35,1.01E-08
2002-09-01 0:00,122.3105833,0.71875,17.1,79.75,101585,3.475,1.01E-08
2002-09-02 0:00,203.07375,0.34375,14.85,76,102156.25,2.05,1.26E-08
2002-09-03 0:00,87.25541667,0.75,15.875,83,102221.25,2.925,1.26E-08
2002-09-04 0:00,198.8055833,0.9625,17.1,82,102042.5,2.2,1.26E-08
2002-09-05 0:00,152.91875,0.75,17.95,74,101543.75,2.325,1.26E-08
2002-09-06 0:00,83.67,0.9375,16.5,55.75,100980,3.325,1.26E-08
2002-09-07 0:00,119.8454167,0.75,15.4,62.75,100771.25,1.925,1.26E-08
2002-09-08 0:00,81.78408333,0.21875,14.7,71,100551.25,2.325,1.26E-08
2002-09-09 0:00,77.19341667,0.3125,16.975,68.5,100197.5,1.925,1.26E-08
2002-09-10 0:00,137.4104167,0.625,17.975,47.75,99207.5,1.025,1.26E-08
2002-09-11 0:00,177.4979167,0.25,18,57.25,98523.75,2.7,1.26E-08
2002-09-12 0:00,175.547125,0.5,16.475,72.25,98622.5,2.2,1.26E-08
2002-09-13 0:00,150.0879167,0.3125,16.45,70.75,98972.5,1.125,1.26E-08
2002-09-14 0:00,126.7895833,0.4625,17.55,58.5,98331.25,1.275,1.26E-08
2002-09-15 0:00,152.7465833,0.84375,14.7,74.5,98266.25,4.275,1.26E-08
2002-09-16 0:00,169.1983333,0.71875,10.65,77.25,98012.5,2.275,1.26E-08
2002-09-17 0:00,121.0845833,0.46875,13.725,82,97995,1,1.26E-08
2002-09-18 0:00,89.82208333,0.78125,14.05,73,99315,1.525,1.26E-08
2002-09-19 0:00,111.8733333,0.375,13.1,75.25,100923.75,2.825,1.26E-08
2002-09-20 0:00,101.6835417,0.84375,10.625,59.25,101901.25,2.3,1.26E-08
2002-09-21 0:00,157.2016667,0.9625,9,61.25,102838.75,2.575,1.26E-08
2002-09-22 0:00,66.04370833,0.625,8.775,75,102521.25,1.925,1.26E-08
2002-09-23 0:00,59.28591667,0.8125,7.325,77.5,102158.75,3.225,1.26E-08
2002-09-24 0:00,121.5262917,0.8125,6.45,65.25,102096.25,2.575,1.26E-08
2002-09-25 0:00,71.86541667,0.59375,10.575,77.75,101641.25,1.525,1.26E-08
2002-09-26 0:00,70.14433333,0.625,9.225,70.75,101358.75,2.575,1.26E-08
2002-09-27 0:00,118.7104167,0.84375,6.8,79.25,100847.5,2.3,1.26E-08
2002-09-28 0:00,105.80125,0.625,6.3,81,100341.25,1.275,1.26E-08
2002-09-29 0:00,113.7080833,0.9625,10,87.75,100393.75,1.275,1.26E-08
2002-09-30 0:00,104.05125,0.9375,12.5,83.5,101053.75,2.2,1.26E-08
2002-10-01 0:00,53.15858333,0.84375,11.95,67.75,101738.75,2.05,1.26E-08
2002-10-02 0:00,36.80416667,0.9375,10.25,63,102152.5,2.55,2.62E-08
2002-10-03 0:00,42.3775,1,9.55,64,102232.5,1.15,2.62E-08
2002-10-04 0:00,16.20525,0.9625,11.1,65.5,101815,1.25,2.62E-08
2002-10-05 0:00,19.50133333,0.84375,8.975,62.5,101537.5,2.2,2.62E-08
2002-10-06 0:00,48.46625,0.59375,6.025,62.5,101887.5,2.425,2.62E-08
2002-10-07 0:00,44.3875,0.9375,4.05,72.75,102623.75,2.95,2.62E-08
2002-10-08 0:00,112.4195833,0.96875,3.2,71,102652.5,3.975,2.62E-08
2002-10-09 0:00,28.45375,0.6875,3.6,76.25,102107.5,3.725,2.62E-08
2002-10-10 0:00,38.33366667,0.96875,3.975,84,100458.75,2.7,2.62E-08
2002-10-11 0:00,45.88375,0.96875,3.775,73,98425,3.475,2.62E-08
2002-10-12 0:00,25.16875,1,3.45,74,98415,3.35,2.62E-08
2002-10-13 0:00,23.44191667,1,2.975,70.5,98602.5,3.325,2.62E-08
2002-10-14 0:00,13.27825,1,2.9,70,99878.75,5.275,2.62E-08
2002-10-15 0:00,15.17491667,0.75,3.025,87,98903.75,5.925,2.62E-08
2002-10-16 0:00,22.1545,0.9375,1.85,86.75,98996.25,6.45,2.62E-08
2002-10-17 0:00,39.273375,0.9375,1.7,83.5,99975,2.575,2.62E-08
2002-10-18 0:00,17.201875,0.53125,0.45,89.5,98618.75,4.35,2.62E-08
2002-10-19 0:00,29.77504167,0.9625,-0.15,72.75,98766.25,4.1,2.62E-08
2002-10-20 0:00,83.87,1,-1.6,88,99485,1.825,2.62E-08
2002-10-21 0:00,48.33458333,1,-0.525,71.5,99767.5,1.275,2.62E-08
2002-10-22 0:00,15.05333333,1,0.475,69.75,99858.75,1.525,2.62E-08
2002-10-23 0:00,16.24095833,0.65625,0.35,66.75,99480,5.025,2.62E-08
2002-10-24 0:00,4.891625,0.84375,3.25,76.75,98578.75,4.875,2.62E-08
2002-10-25 0:00,38.95033333,0.71875,5.375,76.75,99381.25,4.75,2.62E-08
2002-10-26 0:00,4.344,0.5,3.525,80.25,96950,2.575,2.62E-08
2002-10-27 0:00,41.11416667,0.3125,7.8,68.5,97340,4.625,2.62E-08
2002-10-28 0:00,47.84283333,0.53125,3.125,73.75,97990,1.8,2.62E-08
2002-10-29 0:00,70.292375,0.3125,2.8,81.25,96667.5,1.125,2.62E-08
2002-10-30 0:00,34.18279167,0.5625,0.475,75.5,96866.25,0.625,2.62E-08
2002-10-31 0:00,85.16458333,0.1875,-1.225,87.5,98133.75,0.75,2.62E-08
2002-11-01 0:00,58.43125,0.3125,1.45,91,98485,0.625,2.62E-08
2002-11-02 0:00,53.40708333,0.46875,0.975,89,99053.75,2.85,8.41E-09
2002-11-03 0:00,69.31083333,0.71875,-1.35,84.5,99812.5,1.925,8.41E-09
2002-11-04 0:00,15.51354167,0.65625,-3.15,79.25,99615,3.1,8.41E-09
2002-11-05 0:00,34.23708333,0.96875,-1.225,70.5,99330,1.025,8.41E-09
2002-11-06 0:00,12.048125,1,-5.475,77.25,99296.25,1.4,8.41E-09
2002-11-07 0:00,0.640416667,1,0.925,84,100007.5,2.825,8.41E-09
2002-11-08 0:00,7.856416667,0.96875,4.725,82,101561.25,2.2,8.41E-09
2002-11-09 0:00,10.38845833,0.5,2.6,76.75,102122.5,2.2,8.41E-09
2002-11-10 0:00,8.160416667,0.4375,0.925,89,101535,5.15,8.41E-09
2002-11-11 0:00,32.07666667,0.84375,-3.95,90.5,100305,3.725,8.41E-09
2002-11-12 0:00,33.27375,1,-6.875,90.5,100428.75,2.95,8.41E-09
2002-11-13 0:00,1.853625,1,-7.525,81,100682.5,3.325,8.41E-09
2002-11-14 0:00,9.467916667,1,-4.675,68.5,100596.25,6.05,8.41E-09
2002-11-15 0:00,7.993,0.96875,-2.125,66.75,100581.25,4.875,8.41E-09
2002-11-16 0:00,8.63975,0.96875,0.425,68.25,101145,4,8.41E-09
2002-11-17 0:00,12.142,0.59375,1.65,81.75,101965,1.125,8.41E-09
2002-11-18 0:00,8.183958333,0.625,2.125,79.75,102162.5,0.875,8.41E-09
2002-11-19 0:00,28.28695833,0.34375,0.275,83.5,101933.75,1.15,8.41E-09
2002-11-20 0:00,54.60129167,0.9375,-2.35,86.25,102267.5,3.575,8.41E-09
2002-11-21 0:00,24.57604167,1,-2,83.5,102855,2.025,8.41E-09
2002-11-22 0:00,1.650166667,1,-0.175,90.5,102231.25,4.125,8.41E-09
2002-11-23 0:00,5.7025,1,-2.7,87.75,101822.5,4.725,8.41E-09
2002-11-24 0:00,3.660583333,0.96875,-1.4,83.75,102100,5.55,8.41E-09
2002-11-25 0:00,2.089125,0.875,-0.625,78.75,101537.5,5.8,8.41E-09
2002-11-26 0:00,4.061958333,0.6875,0.575,80.75,101203.75,3.6,8.41E-09
2002-11-27 0:00,5.034,1,2.325,81.5,100922.5,3.575,8.41E-09
2002-11-28 0:00,6.524583333,1,-2.85,88,101201.25,1.25,8.41E-09
2002-11-29 0:00,2.029666667,1,-1.55,86.5,101526.25,4.1,8.41E-09
2002-11-30 0:00,3.760833333,1,0.275,82.25,101790,5.525,8.41E-09
2002-12-01 0:00,5.919333333,1,-3.4,77.75,102598.75,5.4,8.41E-09
2002-12-02 0:00,1.809541667,1,-2.95,77.75,102893.75,4.875,3.58E-09
2002-12-03 0:00,0.725625,1,-2.1,76.5,102373.75,4.6,3.58E-09
2002-12-04 0:00,1.908208333,1,0.3,82.25,100663.75,4.35,3.58E-09
2002-12-05 0:00,2.171125,0.96875,-0.05,86,99545,3.225,3.58E-09
2002-12-06 0:00,2.478333333,1,-1.325,89.25,99480,4.1,3.58E-09
2002-12-07 0:00,4.898125,0.96875,-2.2,85.75,100588.75,3.85,3.58E-09
2002-12-08 0:00,5.900208333,0.125,-3.6,87.25,101663.75,3.225,3.58E-09
2002-12-09 0:00,7.002791667,0.25,-4.75,83.75,101883.75,2.325,3.58E-09
2002-12-10 0:00,6.51675,0.59375,-9.975,82.75,101758.75,0.9,3.58E-09
2002-12-11 0:00,6.016416667,0.375,-7.9,81,101782.5,0.5,3.58E-09
2002-12-12 0:00,5.471,0.625,-9.5,79,101561.25,0.75,3.58E-09
2002-12-13 0:00,5.8005,0.9375,-10.2,86.75,100767.5,1.275,3.58E-09
2002-12-14 0:00,4.7995,0.9375,-6.95,93.5,99972.5,0.125,3.58E-09
2002-12-15 0:00,1.646666667,0.9625,-4.05,89,100613.75,1.4,3.58E-09
2002-12-16 0:00,3.990916667,0.59375,-4.15,86.75,99918.75,2.45,3.58E-09
2002-12-17 0:00,2.53025,0.3125,-3.775,79.25,100292.5,3.85,3.58E-09
2002-12-18 0:00,9.4475,1,-7.6,80.75,100047.5,1.925,3.58E-09
2002-12-19 0:00,4.872458333,0.65625,-8.25,81,99070,0.875,3.58E-09
2002-12-20 0:00,0.617541667,0.5625,-5.875,82,98805,0.625,3.58E-09
2002-12-21 0:00,9.665291667,0.3125,-2.325,93.5,99327.5,2.075,3.58E-09
2002-12-22 0:00,7.991416667,0.9625,-7.175,85.75,100451.25,1.775,3.58E-09
2002-12-23 0:00,5.286833333,0.8125,-11.25,86,101161.25,0.5,3.58E-09
2002-12-24 0:00,4.500166667,1,-9.775,78,100617.5,2.2,3.58E-09
2002-12-25 0:00,7.363958333,1,-7.725,70.5,99895,2.725,3.58E-09
2002-12-26 0:00,2.358958333,1,-5.175,82.5,98993.12,1.825,3.58E-09
2002-12-27 0:00,2.178666667,1,-3.325,86.5,98503.75,2.3,3.58E-09
2002-12-28 0:00,3.195875,1,-3.275,80,97161.25,5.375,3.58E-09
2002-12-29 0:00,2.054833333,0.625,-2.5,72.75,98401.25,6.7,3.58E-09
2002-12-30 0:00,3.366291667,0.625,-4.775,77,100196.25,6.575,3.58E-09
2002-12-31 0:00,6.895833333,0.875,-10.575,72.75,101262.5,4.625,3.58E-09
2003-01-01 0:00,7.365416667,0.96875,-16.6,77.25,101148.75,1.275,3.58E-09
